DevolucionID,VentaID,ClienteID,FechaDevolucion,Motivo
D00420,V002033,C01091,2026-01-13,Cambio de opinión
D00421,V002041,C00889,2025-02-21,Producto incorrecto
D00422,V002049,C00780,2025-11-26,Producto dañado
D00423,V002052,C00164,2025-08-14,Producto dañado
D00424,V002053,C00537,2025-11-02,Producto defectuoso
D00425,V002059,C00388,2025-03-26,Entrega tardía
D00426,V002062,C00774,2025-10-27,Producto defectuoso
D00427,V002063,C00002,2025-02-01,Producto defectuoso
D00428,V002066,C00554,2025-09-15,Producto defectuoso
D00429,V002072,C00045,2025-06-19,Producto incorrecto
D00430,V002077,C00476,2025-12-28,Cambio de opinión
D00431,V002080,C00966,2025-08-10,Producto defectuoso
D00432,V002100,C00036,2025-12-29,Producto dañado
D00433,V002110,C00107,2025-08-17,Producto incorrecto
D00434,V002119,C00724,2025-05-02,Entrega tardía
D00435,V002122,C00220,2025-08-23,Producto incorrecto
D00436,V002123,C00774,2025-03-23,Entrega tardía
D00437,V002128,C00681,2026-01-03,Producto defectuoso
D00438,V002133,C00235,2025-02-22,Producto incorrecto
D00439,V002144,C00305,2025-04-16,Producto incorrecto
D00440,V002145,C00445,2025-06-09,Producto dañado
D00441,V002149,C00384,2025-11-24,Producto incorrecto
D00442,V002151,C01114,2025-04-23,Cambio de opinión
D00443,V002154,C00854,2025-10-24,Entrega tardía
D00444,V002156,C01196,2025-12-27,Producto defectuoso
D00445,V002157,C00030,2025-08-08,Producto defectuoso
D00446,V002168,C01127,2025-06-01,Cambio de opinión
D00447,V002172,C00269,2025-03-04,Cambio de opinión
D00448,V002174,C00071,2025-06-08,Producto defectuoso
D00449,V002184,C00415,2025-06-01,Entrega tardía
D00450,V002185,C01069,2025-01-28,Producto defectuoso
D00451,V002187,C00238,2025-12-13,Producto defectuoso
D00452,V002195,C00440,2025-07-22,Producto defectuoso
D00453,V002206,C00190,2025-04-30,Entrega tardía
D00454,V002209,C00631,2025-02-06,Cambio de opinión
D00455,V002210,C01011,2025-06-05,Producto incorrecto
D00456,V002216,C00033,2025-08-20,Producto dañado
D00457,V002218,C01165,2025-05-12,Cambio de opinión
D00458,V002221,C01017,2025-10-22,Producto incorrecto
D00459,V002225,C00433,2025-07-17,Producto incorrecto
D00460,V002229,C00496,2025-10-22,Producto defectuoso
D00461,V002246,C01129,2025-03-02,Producto incorrecto
D00462,V002270,C00551,2025-11-11,Entrega tardía
D00463,V002278,C00757,2025-11-16,Cambio de opinión
D00464,V002280,C00192,2025-10-30,Entrega tardía
D00465,V002286,C01150,2025-09-12,Producto dañado
D00466,V002293,C00339,2025-09-08,Entrega tardía
D00467,V002306,C01093,2025-09-16,Producto defectuoso
D00468,V002308,C00286,2025-04-30,Entrega tardía
D00469,V002314,C00275,2025-02-08,Producto defectuoso
D00470,V002321,C00198,2025-02-03,Producto defectuoso
D00471,V002324,C01082,2025-10-30,Producto incorrecto
D00472,V002326,C00921,2025-05-10,Producto dañado
D00473,V002327,C00912,2025-04-16,Producto dañado
D00474,V002328,C00242,2025-03-14,Producto defectuoso
D00475,V002344,C00602,2025-12-29,Cambio de opinión
D00476,V002346,C00049,2025-09-16,Entrega tardía
D00477,V002352,C00036,2025-07-24,Entrega tardía
D00478,V002355,C00366,2025-01-28,Producto defectuoso
D00479,V002363,C00125,2025-04-18,Producto incorrecto
D00480,V002366,C00519,2025-06-05,Producto incorrecto
D00481,V002368,C00149,2025-10-20,Entrega tardía
D00482,V002374,C00982,2025-10-20,Cambio de opinión
D00483,V002378,C01196,2026-01-10,Entrega tardía
D00484,V002382,C00132,2025-07-25,Producto dañado
D00485,V002385,C00942,2025-12-05,Producto incorrecto
D00486,V002397,C00545,2025-06-13,Producto incorrecto
D00487,V002407,C00858,2025-03-05,Producto incorrecto
D00488,V002410,C00378,2025-08-19,Producto incorrecto
D00489,V002413,C01008,2025-08-19,Producto dañado
D00490,V002422,C00250,2026-01-21,Entrega tardía
D00491,V002427,C00816,2025-03-02,Producto defectuoso
D00492,V002430,C00408,2025-10-24,Entrega tardía
D00493,V002431,C01040,2025-03-25,Cambio de opinión
D00494,V002433,C00531,2025-08-24,Producto incorrecto
D00495,V002434,C00085,2025-10-04,Cambio de opinión
D00496,V002437,C00617,2025-07-27,Producto incorrecto
D00497,V002438,C00713,2025-02-07,Entrega tardía
D00498,V002440,C00926,2025-12-11,Producto dañado
D00499,V002441,C00242,2025-04-13,Producto incorrecto
D00500,V002442,C00981,2025-03-26,Producto dañado
D00501,V002459,C01192,2025-02-17,Producto dañado
D00502,V002462,C00259,2025-05-20,Cambio de opinión
D00503,V002465,C00312,2025-09-17,Cambio de opinión
D00504,V002470,C00518,2025-07-20,Entrega tardía
D00505,V002479,C00712,2025-10-08,Entrega tardía
D00506,V002480,C00837,2025-06-07,Entrega tardía
D00507,V002485,C00423,2025-05-30,Cambio de opinión
